,Node_Point,Supercharger_Coords,Distance
0,"(34.946918, -120.433487)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",0.6738464385300474
1,"(34.941998, -120.428612)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",1.3285466002615902
2,"(34.93919, -120.428589)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",1.618595123373486
3,"(34.933487, -119.508163)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",57.90576689212562
4,"(34.936329, -119.477669)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",58.38809299805658
5,"(34.94141, -119.463081)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",58.476351724188845
6,"(34.947056, -119.455467)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",58.85269924733093
7,"(34.950504, -119.698486)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",56.830418296777296
8,"(34.941086, -119.664291)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",56.15893629412826
9,"(34.940327, -119.65593)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",56.19224793614218
10,"(34.931713, -119.603142)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",56.23368371116935
11,"(34.932827, -119.580673)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",56.89145891055066
12,"(34.933018, -119.521202)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",57.63343342345201
13,"(34.919724, -120.429466)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",3.7128561850808532
14,"(34.936024, -120.429298)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",1.9358332998465089
15,"(34.907574, -120.428391)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",5.062960862292337
16,"(34.934769, -120.407013)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",3.223126953132205
17,"(34.900585, -120.409447)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",6.243629567958406
18,"(34.8927, -118.171066)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",62.104293089904395
19,"(34.913528, -118.153107)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",64.93829006688503
20,"(34.896896, -118.17012)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",62.53700383602757
21,"(34.921284, -119.510567)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",56.53518308717153
22,"(34.899879, -119.501343)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",54.38782577500983
23,"(34.884659, -119.493134)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",52.91709111202538
24,"(34.902554, -120.42794)","Longitude   -118.151192
Latitude      34.087069
Name: 43, dtype: object",5.621042433843604
