,Node,Nearest_Supercharger,Distance
0,15237.0,"(34.952928, -120.434555)",0.6738464385300474
1,15238.0,"(34.952928, -120.434555)",1.3285466002615902
2,15239.0,"(34.952928, -120.434555)",1.618595123373486
3,15240.0,"(34.421527, -119.631377)",57.90576689212562
4,15241.0,"(34.441994, -119.258898)",58.38809299805658
5,15242.0,"(34.441994, -119.258898)",58.476351724188845
6,15243.0,"(34.441994, -119.258898)",58.85269924733093
7,15249.0,"(34.440227, -119.753359)",56.830418296777296
8,15250.0,"(34.440227, -119.753359)",56.15893629412826
9,15251.0,"(34.440227, -119.753359)",56.19224793614218
10,15252.0,"(34.440227, -119.753359)",56.23368371116935
11,15253.0,"(34.440227, -119.753359)",56.89145891055066
12,15254.0,"(34.421527, -119.631377)",57.63343342345201
13,15268.0,"(34.952928, -120.434555)",3.7128561850808532
14,15269.0,"(34.952928, -120.434555)",1.9358332998465089
15,15310.0,"(34.952928, -120.434555)",5.062960862292337
16,15327.0,"(34.952928, -120.434555)",3.223126953132205
17,15328.0,"(34.952928, -120.434555)",6.243629567958406
18,15333.0,"(34.431041, -118.554319)",62.104293089904395
19,15334.0,"(34.431041, -118.554319)",64.93829006688503
20,15337.0,"(34.431041, -118.554319)",62.53700383602757
21,15353.0,"(34.421527, -119.631377)",56.53518308717153
22,15354.0,"(34.421527, -119.631377)",54.38782577500983
23,15355.0,"(34.421527, -119.631377)",52.91709111202538
24,15362.0,"(34.952928, -120.434555)",5.621042433843604
25,15363.0,"(34.952928, -120.434555)",8.408562204374688
26,15367.0,"(34.431041, -118.554319)",60.24750636991358
27,15368.0,"(34.431041, -118.554319)",59.763787885194986
28,15369.0,"(34.431041, -118.554319)",59.115820847561146
29,15370.0,"(34.431041, -118.554319)",60.262123401219995
30,15371.0,"(34.952928, -120.434555)",9.254344590938045
31,15372.0,"(34.952928, -120.434555)",9.947703175944522
32,15445.0,"(34.952928, -120.434555)",15.561574615571702
33,15446.0,"(34.452312, -118.61614)",61.393247249256994
34,15447.0,"(34.452312, -118.61614)",58.98804839450209
35,15448.0,"(34.452312, -118.61614)",58.74297550042105
36,15449.0,"(34.452312, -118.61614)",57.207725416427266
