,GPS,Zip
2,"34.238654, -119.177398",93036
3,"34.61456, -120.188387",93427
24,"34.179384, -118.320974",91506
35,"34.440227, -119.753359",93105
37,"34.428885, -119.87338",93117
54,"34.431041, -118.554319",91355
67,"34.18487, -118.311672",91502
83,"34.158291, -118.82363",91362
87,"34.03818, -118.443301",90064
92,"34.144835, -118.146609",91105
97,"34.047424, -118.264589",90015
98,"34.441994, -119.258898",93023
103,"34.145099, -118.256433",91210
111,"34.013087, -118.493843",90401
146,"34.18445, -118.890747",91360
184,"34.272167, -118.797139",93065
185,"34.281483, -118.44167",91340
186,"34.12699, -118.147727",91106
218,"34.421527, -119.631377",93108
220,"34.148107, -118.227151",91206
226,"34.266234, -118.526633",91344
234,"33.986779, -118.390213",90230
257,"34.091635, -118.382241",90069
259,"34.952928, -120.434555",93454
260,"34.156902, -118.467539",91403
263,"34.153571, -118.081718",91107
267,"34.047878, -118.524987",90272
277,"34.139, -118.1312",91106
293,"34.418965, -119.697083",93101
294,"34.033502, -118.240852",90021
297,"33.997487, -118.421155",90066
301,"34.027046, -118.388416",90232
305,"34.154607, -118.645367",91302
321,"34.452312, -118.61614",91384
322,"34.187565, -118.318197",91504
323,"34.3683, -118.5092",91321
335,"34.275162, -119.239734",93003
339,"34.4237, -118.5845",91355
346,"34.025098, -118.469543",90404
374,"34.23471, -118.55287",91324
378,"34.024585, -118.485771",90404
389,"34.027942, -118.393968",90034
406,"34.087069, -118.151192",91803
