,Supercharger,Nearest_Node
0,"34.238654, -119.177398",17037
1,"34.61456, -120.188387",15831
2,"34.179384, -118.320974",17262
3,"34.440227, -119.753359",16269
4,"34.428885, -119.87338",16373
5,"34.431041, -118.554319",16556
6,"34.18487, -118.311672",17256
7,"34.158291, -118.82363",17343
8,"34.03818, -118.443301",17898
9,"34.144835, -118.146609",17485
10,"34.047424, -118.264589",17853
11,"34.441994, -119.258898",16381
12,"34.145099, -118.256433",17284
13,"34.013087, -118.493843",18018
14,"34.18445, -118.890747",17219
15,"34.272167, -118.797139",16951
16,"34.281483, -118.44167",16890
17,"34.12699, -118.147727",17486
18,"34.421527, -119.631377",16835
19,"34.148107, -118.227151",17538
20,"34.266234, -118.526633",16903
21,"33.986779, -118.390213",18074
22,"34.091635, -118.382241",17807
23,"34.952928, -120.434555",15237
24,"34.156902, -118.467539",17344
25,"34.153571, -118.081718",17314
26,"34.047878, -118.524987",18016
27,"34.139, -118.1312",17311
28,"34.418965, -119.697083",16527
29,"34.033502, -118.240852",17944
30,"33.997487, -118.421155",18073
31,"34.027046, -118.388416",17903
32,"34.154607, -118.645367",17304
33,"34.452312, -118.61614",16320
34,"34.187565, -118.318197",17255
35,"34.3683, -118.5092",16694
37,"34.275162, -119.239734",16892
38,"34.4237, -118.5845",16494
39,"34.025098, -118.469543",18010
40,"34.23471, -118.55287",16950
41,"34.024585, -118.485771",18012
42,"34.027942, -118.393968",17902
43,"34.087069, -118.151192",17742
